186,85,157,428,-1
220,66,203,489,-1
205,71,209,485,-1
224,71,194,489,-1
206,83,204,493,-1
226,78,189,493,-1
190,81,225,496,-1
237,80,180,497,-1
188,87,217,492,-1
207,84,194,485,-1
229,75,183,487,-1
216,83,192,491,-1
220,53,211,484,-1
212,54,219,485,-1
204,86,192,482,-1
213,86,180,479,-1
207,67,209,483,-1
196,87,196,479,-1
219,88,181,488,-1
201,83,208,492,-1
210,82,194,486,-1
221,82,182,485,-1
225,41,220,486,-1
197,91,188,476,-1
222,52,215,489,-1
192,120,170,482,-1
169,77,234,480,-1
175,90,220,485,-1
208,79,200,487,-1
190,72,220,482,-1
225,58,205,488,-1
176,101,208,485,-1
177,92,219,488,-1
207,73,204,484,-1
204,85,200,489,-1
188,88,212,488,-1
210,83,189,482,-1
220,72,201,493,-1
174,117,197,488,-1
211,85,197,493,-1
201,74,212,487,-1
217,77,191,485,-1
209,66,204,479,-1
171,58,244,473,-1
215,71,199,485,-1
203,93,192,488,-1
225,69,201,495,-1
209,82,202,493,-1
207,75,211,493,-1
215,83,193,491,-1
248,59,183,490,-1
222,84,192,498,-1
211,72,217,500,-1
213,83,204,500,-1
206,89,202,497,-1
223,70,206,499,-1
